DEPARTAMENTO,PROVINCIA,DISTRITO,PRESTADOR,RESOLUCION,TIPO_RESERVA,FECHA_CORTE,MONTO_PROYECTADO_GRD&ACC,MONTO_PROYECTADO_MERESE,VIGENCIA
PUNO ,AZANGARO,AZANGARO,EPS NOR PUNO S. A.,025-2014-SUNASS-CD,GRD&ACC,20231024,231294,0,0
JUNIN,JAUJA,JAUJA,EPS MANTARO S. A.,064-2017-SUNASS-CD,MERESE y GRD&ACC,20231024,79477,525391,0
CAJAMARCA,JAEN ,JAEN,EPS MARA•‡N S. A.,065-2017-SUNASS-CD,MERESE y GRD&ACC,20231024,107097,1207632,0
CUSCO,CALCA,CALCA,EMSAPA CALCA S. A.,043-2018-SUNASS-CD,MERESE y GRD&ACC,20231024,13039,24560,0
LIMA,CA•ETE,SAN VICENTE DE CA•ETE,EMAPA CA•ETE S. A.,055-2018-SUNASS-CD,MERESE y GRD&ACC,20231024,21081,2255720,0
HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,EMAPA HCVA S. A.,057-2018-SUNASS-CD,MERESE y GRD&ACC,20231024,503038,660801,0
CUSCO,QUILLABAMBA,SANTA ANA,EPS EMAQ S. R. L.,058-2018-SUNASS-CD,MERESE y GRD&ACC,20231024,62091,144009,0
PASCO,PASCO,YANACANCHA,EMAPA PASCO S. A.,038-2019-SUNASS-CD,MERESE y GRD&ACC,20231024,39790,44704,0
LIMA,HUARAL,HUARAL,EMAPA HUARAL S. A.,042-2019-SUNASS-CD,MERESE y GRD&ACC,20231024,214878,639937,0
MOQUEGUA,ILO,ILO,EPS ILO S. A.,053-2019-SUNASS-CD,MERESE y GRD&ACC,20231024,919821,1024973,0
AMAZONAS,AMAZONAS,CHACHAPOYAS,EMUSAP S. A.,043-2021-SUNASS-CD,MERESE y GRD&ACC,20231024,407417,902389,1
SAN MARTIN,MOYOBAMBA,MOYOBAMBA,EPS MOYOBAMBA S. A.,044-2021-SUNASS-CD,MERESE y GRD&ACC,20231024,488341,1823938,1
AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S. A.,045-2021-SUNASS-CD,MERESE y GRD&ACC,20231024,15004672,8476637,1
LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S. A.,065-2021-SUNASS-CD,MERESE y GRD&ACC,20231024,12754096,4390811,1
PIURA,PIURA,PIURA,EPS GRAU S. A.,071-2021-SUNASS-CD,MERESE y GRD&ACC,20231024,13583063,3397893,1
JUNIN,YAULI,LA OROYA,EMSAPA YAULI LA OROYA S. R. L.,078-2021-SUNASS-CD,MERESE y GRD&ACC,20231024,46081,45109,1
AYACUCHO,HUAMANGA,AYACUCHO,SEDA AYACUCHO S. A.,077-2021-SUNASS-CD,MERESE y GRD&ACC,20231024,1049000,1175687,1
LIMA,LIMA,EL AGUSTINO,SEDAPAL S. A.,079-2021-SUNASS-CD,MERESE y GRD&ACC,20231024,99899906,61027779,1
LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S. A.,019-2018-SUNASS-CD,MERESE y GRD&ACC,20231024,33742278,3607804,0
JUNIN,TARMA,TARMA,EPS SIERRA CENTRAL S. R. L.,054-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,96020,161950,0
ICA,NASCA,NASCA,EMAPAVIGS S. A.,062-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,44577,150892,0
LIMA,BARRANCA,BARRANCA,EPS BARRANCA S. A.,061-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,562062,156417,0
TACNA,TACNA,TACNA,EPS TACNA S. A.,060-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,882856,1257008,0
ICA,PISCO,PISCO,EMAPISCO S. A.,064-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,272689,464740,0
CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S. A.,074-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,9219068,0,1
LIMA,HUAURA,HUALMAY,EPS AGUAS DE LIMA NORTE S. A.,075-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,507041,318326,0
CAJAMARCA,CAJAMARCA,CAJAMARCA,EPS SEDACAJ S. A.,078-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,1188415,2780495,0
UCAYALI,CORONEL PORTILLO,CALLERIA,EMAPACOP S. A.,086-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,452575,1396742,0
SAN MARTIN,SAN MARTIN,TARAPOTO,EMAPA SAN MART÷N S. A.,093-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,1144923,1943966,0
APURIMAC,ABANCAY,ABANCAY,EPS EMUSAP ABANCAY S. A.,091-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,1926180,1656404,1
ICA,CHINCHA,CHINCHA ALTA,SEMAPACH S. A.,092-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,904378,806002,0
LORETO,MAYNAS,IQUITOS,EPS SEDALORETO S. A.,102-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,2376816,809794,1
SAN MARTIN,RIOJA,RIOJA,EPS RIOJA S. A.,107-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,446870,194137,1
AMAZONAS,BAGUA,BAGUA,EPS EMAPAB S. A.,114-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,98580,73935,1
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,EPS EMSAP CHANKA S. A.,113-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,74334,101988,1
PUNO,PUNO,PUNO,EMSAPUNO S. A.,117-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,1511929,644955,1
MADRE DE DIOS,TAMBOPATA,TAMBOPATA,EPS EMAPAT S. A.,122-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,2750197,1734569,1
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,EPS MOQUEGUA S. A.,123-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,828075,649541,1
JUNIN,CHANCHAMAYO,CHANCHAMAYO,EPS SELVA CENTRAL S. A.,124-2022-SUNASS-CD,MERESE y GRD&ACC,20231024,408841,224189,1
