ubigeo;departamento;provincia;distrito;total_hogares
010101;Amazonas;Chachapoyas;Chachapoyas;8359
010102;Amazonas;Chachapoyas;Asunción;104
010103;Amazonas;Chachapoyas;Balsas;355
010104;Amazonas;Chachapoyas;Cheto;220
010105;Amazonas;Chachapoyas;Chiliquin;206
010106;Amazonas;Chachapoyas;Chuquibamba;544
010107;Amazonas;Chachapoyas;Granada;156
010108;Amazonas;Chachapoyas;Huancas;123
010109;Amazonas;Chachapoyas;La Jalca;1104
010110;Amazonas;Chachapoyas;Leimebamba;1101
010111;Amazonas;Chachapoyas;Levanto;252
010112;Amazonas;Chachapoyas;Magdalena;317
010113;Amazonas;Chachapoyas;Mariscal Castilla;406
010114;Amazonas;Chachapoyas;Molinopampa;701
010115;Amazonas;Chachapoyas;Montevideo;164
010116;Amazonas;Chachapoyas;Olleros;148
010117;Amazonas;Chachapoyas;Quinjalca;295
010118;Amazonas;Chachapoyas;S. Francisco de Daguas;102
010119;Amazonas;Chachapoyas;San Isidro de Maino;187
010120;Amazonas;Chachapoyas;Soloco;407
010121;Amazonas;Chachapoyas;Sonche;86
010201;Amazonas;Bagua;Bagua;7489
010202;Amazonas;Bagua;Aramango;2878
010203;Amazonas;Bagua;Copallin;1470
010204;Amazonas;Bagua;El Parco;388
010205;Amazonas;Bagua;Imaza;6284
010206;Amazonas;Bagua;La Peca;1965
010301;Amazonas;Bongará;Jumbilla;442
010302;Amazonas;Bongará;Chisquilla;115
010303;Amazonas;Bongará;Churuja;89
010304;Amazonas;Bongará;Corosha;233
010305;Amazonas;Bongará;Cuispes;225
010306;Amazonas;Bongará;Florida;1670
010307;Amazonas;Bongará;Jazan;2365
010308;Amazonas;Bongará;Recta;79
010309;Amazonas;Bongará;San Carlos;183
010310;Amazonas;Bongará;Shipasbamba;452
010311;Amazonas;Bongará;Valera;300
010312;Amazonas;Bongará;Yambrasbamba;1660
010401;Amazonas;Condorcanqui;Nieva;4710
010402;Amazonas;Condorcanqui;El Cenepa;2087
010403;Amazonas;Condorcanqui;Río Santiago;3070
010501;Amazonas;Luya;Lamud;749
010502;Amazonas;Luya;Camporredondo;1835
010503;Amazonas;Luya;Cocabamba;559
010504;Amazonas;Luya;Colcamar;648
010505;Amazonas;Luya;Conila;527
010506;Amazonas;Luya;Inguilpata;170
010507;Amazonas;Luya;Longuita;254
010508;Amazonas;Luya;Lonya Chico;271
010509;Amazonas;Luya;Luya;1167
010510;Amazonas;Luya;Luya Viejo;103
010511;Amazonas;Luya;María;241
010512;Amazonas;Luya;Ocalli;1077
010513;Amazonas;Luya;Ocumal;897
010514;Amazonas;Luya;Pisuquia;1339
010515;Amazonas;Luya;Providencia;328
010516;Amazonas;Luya;San Cristóbal;190
010517;Amazonas;Luya;San Francisco de Yeso;243
010518;Amazonas;Luya;San Jerónimo;243
010519;Amazonas;Luya;San Juan de Lopecancha;129
010520;Amazonas;Luya;Santa Catalina;540
010521;Amazonas;Luya;Santo Tomas;927
010522;Amazonas;Luya;Tingo;385
010523;Amazonas;Luya;Trita;380
010601;Amazonas;Rodríguez de Mendoza;San Nicolás;1767
010602;Amazonas;Rodríguez de Mendoza;Chirimoto;749
010603;Amazonas;Rodríguez de Mendoza;Cochamal;186
010604;Amazonas;Rodríguez de Mendoza;Huambo;993
010605;Amazonas;Rodríguez de Mendoza;Limabamba;736
010606;Amazonas;Rodríguez de Mendoza;Longar;493
010607;Amazonas;Rodríguez de Mendoza;Mariscal Benavides;498
010608;Amazonas;Rodríguez de Mendoza;Milpuc;163
010609;Amazonas;Rodríguez de Mendoza;Omia;2483
010610;Amazonas;Rodríguez de Mendoza;Santa Rosa;201
010611;Amazonas;Rodríguez de Mendoza;Totora;111
010612;Amazonas;Rodríguez de Mendoza;Vista Alegre;788
010701;Amazonas;Utcubamba;Bagua Grande;14700
010702;Amazonas;Utcubamba;Cajaruro;6894
010703;Amazonas;Utcubamba;Cumba;2321
010704;Amazonas;Utcubamba;El Milagro;1685
010705;Amazonas;Utcubamba;Jamalca;1934
010706;Amazonas;Utcubamba;Lonya Grande;3061
010707;Amazonas;Utcubamba;Yamon;908
020101;Áncash;Huaraz;Huaraz;16318
020102;Áncash;Huaraz;Cochabamba;543
020103;Áncash;Huaraz;Colcabamba;106
020104;Áncash;Huaraz;Huanchay;573
020105;Áncash;Huaraz;Independencia;21587
020106;Áncash;Huaraz;Jangas;1381
020107;Áncash;Huaraz;La Libertad;329
020108;Áncash;Huaraz;Olleros;720
020109;Áncash;Huaraz;Pampas Grande;385
020110;Áncash;Huaraz;Pariacoto;1434
020111;Áncash;Huaraz;Pira;1041
020112;Áncash;Huaraz;Tarica;1837
020201;Áncash;Aija;Aija;548
020202;Áncash;Aija;Coris;544
020203;Áncash;Aija;Huacllan;123
020204;Áncash;Aija;La Merced;523
020205;Áncash;Aija;Succha;267
020301;Áncash;Antonio Raymondi;Llamellin;914
020302;Áncash;Antonio Raymondi;Aczo;568
020303;Áncash;Antonio Raymondi;Chaccho;420
020304;Áncash;Antonio Raymondi;Chingas;566
020305;Áncash;Antonio Raymondi;Mirgas;1140
020306;Áncash;Antonio Raymondi;San Juan de Rontoy;319
020401;Áncash;Asunción;Chacas;1342
020402;Áncash;Asunción;Acochaca;1017
020501;Áncash;Bolognesi;Chiquian;1142
020502;Áncash;Bolognesi;Abelardo Pardo Lezameta;122
020503;Áncash;Bolognesi;Antonio Raymondi;361
020504;Áncash;Bolognesi;Aquia;632
020505;Áncash;Bolognesi;Cajacay;590
020506;Áncash;Bolognesi;Canis;113
020507;Áncash;Bolognesi;Colquioc;566
020508;Áncash;Bolognesi;Huallanca;1650
020509;Áncash;Bolognesi;Huasta;514
020510;Áncash;Bolognesi;Huayllacayan;431
020511;Áncash;Bolognesi;La Primavera;165
020512;Áncash;Bolognesi;Mangas;175
020513;Áncash;Bolognesi;Pacllon;320
020514;Áncash;Bolognesi;San Miguel de Corpanqui;149
020515;Áncash;Bolognesi;Ticllos;257
020601;Áncash;Carhuaz;Carhuaz;4338
020602;Áncash;Carhuaz;Acopampa;771
020603;Áncash;Carhuaz;Amashca;508
020604;Áncash;Carhuaz;Anta;766
020605;Áncash;Carhuaz;Ataquero;474
020606;Áncash;Carhuaz;Marcara;2720
020607;Áncash;Carhuaz;Pariahuanca;430
020608;Áncash;Carhuaz;San Miguel de Aco;711
020609;Áncash;Carhuaz;Shilla;948
020610;Áncash;Carhuaz;Tinco;974
020611;Áncash;Carhuaz;Yungar;852
020701;Áncash;Carlos Fermín Fitzcarrald;San Luis;3133
020702;Áncash;Carlos Fermín Fitzcarrald;San Nicolás;886
020703;Áncash;Carlos Fermín Fitzcarrald;Yauya;1289
020801;Áncash;Casma;Casma;10649
020802;Áncash;Casma;Buena Vista Alta;1540
020803;Áncash;Casma;Comandante Noel;640
020804;Áncash;Casma;Yautan;2410
020901;Áncash;Corongo;Corongo;485
020902;Áncash;Corongo;Aco;128
020903;Áncash;Corongo;Bambas;132
020904;Áncash;Corongo;Cusca;671
020905;Áncash;Corongo;La Pampa;323
020906;Áncash;Corongo;Yanac;220
020907;Áncash;Corongo;Yupan;144
021001;Áncash;Huari;Huari;2680
021002;Áncash;Huari;Anra;431
021003;Áncash;Huari;Cajay;748
021004;Áncash;Huari;Chavin de Huantar;2469
021005;Áncash;Huari;Huacachi;511
021006;Áncash;Huari;Huacchis;455
021007;Áncash;Huari;Huachis;1022
021008;Áncash;Huari;Huantar;856
021009;Áncash;Huari;Masin;494
021010;Áncash;Huari;Paucas;495
021011;Áncash;Huari;Ponto;772
021012;Áncash;Huari;Rahuapampa;197
021013;Áncash;Huari;Rapayan;422
021014;Áncash;Huari;San Marcos;3679
021015;Áncash;Huari;San Pedro de Chana;685
021016;Áncash;Huari;Uco;398
021101;Áncash;Huarmey;Huarmey;7707
021102;Áncash;Huarmey;Cochapeti;296
021103;Áncash;Huarmey;Culebras;983
021104;Áncash;Huarmey;Huayan;297
021105;Áncash;Huarmey;Malvas;275
021201;Áncash;Huaylas;Caraz;6862
021202;Áncash;Huaylas;Huallanca;336
021203;Áncash;Huaylas;Huata;399
021204;Áncash;Huaylas;Huaylas;646
021205;Áncash;Huaylas;Mato;593
021206;Áncash;Huaylas;Pamparomas;2064
021207;Áncash;Huaylas;Pueblo Libre;1902
021208;Áncash;Huaylas;Santa Cruz;1251
021209;Áncash;Huaylas;Santo Toribio;367
021210;Áncash;Huaylas;Yuracmarca;590
021301;Áncash;Mariscal Luzuriaga;Piscobamba;915
021302;Áncash;Mariscal Luzuriaga;Casca;1182
021303;Áncash;Mariscal Luzuriaga;Eleazar Guzmán Barron;336
021304;Áncash;Mariscal Luzuriaga;Fidel Olivas Escudero;565
021305;Áncash;Mariscal Luzuriaga;Llama;336
021306;Áncash;Mariscal Luzuriaga;Llumpa;1604
021307;Áncash;Mariscal Luzuriaga;Lucma;894
021308;Áncash;Mariscal Luzuriaga;Musga;301
021401;Áncash;Ocros;Ocros;429
021402;Áncash;Ocros;Acas;225
021403;Áncash;Ocros;Cajamarquilla;117
021404;Áncash;Ocros;Carhuapampa;203
021405;Áncash;Ocros;Cochas;476
021406;Áncash;Ocros;Congas;440
021407;Áncash;Ocros;Llipa;116
021408;Áncash;Ocros;San Cristóbal de Rajan;194
021409;Áncash;Ocros;San Pedro;259
021410;Áncash;Ocros;Santiago de Chilcas;158
021501;Áncash;Pallasca;Cabana;696
021502;Áncash;Pallasca;Bolognesi;277
021503;Áncash;Pallasca;Conchucos;1959
021504;Áncash;Pallasca;Huacaschuque;156
021505;Áncash;Pallasca;Huandoval;293
021506;Áncash;Pallasca;Lacabamba;160
021507;Áncash;Pallasca;Llapo;187
021508;Áncash;Pallasca;Pallasca;733
021509;Áncash;Pallasca;Pampas;1238
021510;Áncash;Pallasca;Santa Rosa;324
021511;Áncash;Pallasca;Tauca;789
021601;Áncash;Pomabamba;Pomabamba;4059
021602;Áncash;Pomabamba;Huayllan;916
021603;Áncash;Pomabamba;Parobamba;1655
021604;Áncash;Pomabamba;Quinuabamba;656
021701;Áncash;Recuay;Recuay;1361
021702;Áncash;Recuay;Catac;1133
021703;Áncash;Recuay;Cotaparaco;121
021704;Áncash;Recuay;Huayllapampa;264
021705;Áncash;Recuay;Llacllin;319
021706;Áncash;Recuay;Marca;447
021707;Áncash;Recuay;Pampas Chico;351
021708;Áncash;Recuay;Pararin;510
021709;Áncash;Recuay;Tapacocha;149
021710;Áncash;Recuay;Ticapampa;768
021801;Áncash;Santa;Chimbote;54261
021802;Áncash;Santa;Cáceres del Perú;1423
021803;Áncash;Santa;Coishco;4334
021804;Áncash;Santa;Macate;988
021805;Áncash;Santa;Moro;2500
021806;Áncash;Santa;Nepeña;4132
021807;Áncash;Santa;Samanco;1494
021808;Áncash;Santa;Santa;5189
021809;Áncash;Santa;Nuevo Chimbote;49595
021901;Áncash;Sihuas;Sihuas;1593
021902;Áncash;Sihuas;Acobamba;416
021903;Áncash;Sihuas;Alfonso Ugarte;164
021904;Áncash;Sihuas;Cashapampa;824
021905;Áncash;Sihuas;Chingalpo;263
021906;Áncash;Sihuas;Huayllabamba;1011
021907;Áncash;Sihuas;Quiches;683
021908;Áncash;Sihuas;Ragash;667
021909;Áncash;Sihuas;San Juan;1755
021910;Áncash;Sihuas;Sicsibamba;499
022001;Áncash;Yungay;Yungay;5854
022002;Áncash;Yungay;Cascapara;478
022003;Áncash;Yungay;Mancos;2017
022004;Áncash;Yungay;Matacoto;387
022005;Áncash;Yungay;Quillo;3207
022006;Áncash;Yungay;Ranrahirca;806
022007;Áncash;Yungay;Shupluy;507
022008;Áncash;Yungay;Yanama;1587
030101;Apurímac;Abancay;Abancay;20460
030102;Apurímac;Abancay;Chacoche;493
030103;Apurímac;Abancay;Circa;817
030104;Apurímac;Abancay;Curahuasi;5008
030105;Apurímac;Abancay;Huanipaca;1085
030106;Apurímac;Abancay;Lambrama;1232
030107;Apurímac;Abancay;Pichirhua;1037
030108;Apurímac;Abancay;San Pedro de Cachora;843
030109;Apurímac;Abancay;Tamburco;3295
030201;Apurímac;Andahuaylas;Andahuaylas;12210
030202;Apurímac;Andahuaylas;Andarapa;1772
030203;Apurímac;Andahuaylas;Chiara;429
030204;Apurímac;Andahuaylas;Huancarama;1623
030205;Apurímac;Andahuaylas;Huancaray;1274
030206;Apurímac;Andahuaylas;Huayana;262
030207;Apurímac;Andahuaylas;Kishuara;1813
030208;Apurímac;Andahuaylas;Pacobamba;1165
030209;Apurímac;Andahuaylas;Pacucha;2360
030210;Apurímac;Andahuaylas;Pampachiri;727
030211;Apurímac;Andahuaylas;Pomacocha;303
030212;Apurímac;Andahuaylas;San Antonio de Cachi;1043
030213;Apurímac;Andahuaylas;San Jerónimo;5660
030214;Apurímac;Andahuaylas;San Miguel de Chaccrampa;503
030215;Apurímac;Andahuaylas;Santa María de Chicmo;2471
030216;Apurímac;Andahuaylas;Talavera;5361
030217;Apurímac;Andahuaylas;Tumay Huaraca;661
030218;Apurímac;Andahuaylas;Turpo;1195
030219;Apurímac;Andahuaylas;Kaquiabamba;588
030220;Apurímac;Andahuaylas;José María Arguedas;1127
030301;Apurímac;Antabamba;Antabamba;1050
030302;Apurímac;Antabamba;El Oro;281
030303;Apurímac;Antabamba;Huaquirca;498
030304;Apurímac;Antabamba;Juan Espinoza Medrano;685
030305;Apurímac;Antabamba;Oropesa;752
030306;Apurímac;Antabamba;Pachaconas;390
030307;Apurímac;Antabamba;Sabaino;424
030401;Apurímac;Aymaraes;Chalhuanca;1478
030402;Apurímac;Aymaraes;Capaya;237
030403;Apurímac;Aymaraes;Caraybamba;369
030404;Apurímac;Aymaraes;Chapimarca;727
030405;Apurímac;Aymaraes;Colcabamba;268
030406;Apurímac;Aymaraes;Cotaruse;818
030407;Apurímac;Aymaraes;Ihuayllo;195
030408;Apurímac;Aymaraes;Justo Apu Sahuaraura;300
030409;Apurímac;Aymaraes;Lucre;522
030410;Apurímac;Aymaraes;Pocohuanca;420
030411;Apurímac;Aymaraes;San Juan de Chacña;263
030412;Apurímac;Aymaraes;Sañayca;409
030413;Apurímac;Aymaraes;Soraya;275
030414;Apurímac;Aymaraes;Tapairihua;727
030415;Apurímac;Aymaraes;Tintay;849
030416;Apurímac;Aymaraes;Toraya;521
030417;Apurímac;Aymaraes;Yanaca;367
030501;Apurímac;Cotabambas;Tambobamba;3235
030502;Apurímac;Cotabambas;Cotabambas;1259
030503;Apurímac;Cotabambas;Coyllurqui;2133
030504;Apurímac;Cotabambas;Haquira;3269
030505;Apurímac;Cotabambas;Mara;1825
030506;Apurímac;Cotabambas;Challhuahuacho;3527
030601;Apurímac;Chincheros;Chincheros;1617
030602;Apurímac;Chincheros;Anco_Huallo;3146
030603;Apurímac;Chincheros;Cocharcas;583
030604;Apurímac;Chincheros;Huaccana;2022
030605;Apurímac;Chincheros;Ocobamba;2118
030606;Apurímac;Chincheros;Ongoy;741
030607;Apurímac;Chincheros;Uranmarca;838
030608;Apurímac;Chincheros;Ranracancha;1122
030609;Apurímac;Chincheros;Rocchacc;785
030610;Apurímac;Chincheros;El Porvenir;520
030611;Apurímac;Chincheros;Los Chankas;305
030701;Apurímac;Grau;Chuquibambilla;1606
030702;Apurímac;Grau;Curpahuasi;717
030703;Apurímac;Grau;Gamarra;980
030704;Apurímac;Grau;Huayllati;462
030705;Apurímac;Grau;Mamara;334
030706;Apurímac;Grau;Micaela Bastidas;307
030707;Apurímac;Grau;Pataypampa;296
030708;Apurímac;Grau;Progreso;914
030709;Apurímac;Grau;San Antonio;130
030710;Apurímac;Grau;Santa Rosa;234
030711;Apurímac;Grau;Turpay;266
030712;Apurímac;Grau;Vilcabamba;484
030713;Apurímac;Grau;Virundo;243
030714;Apurímac;Grau;Curasco;388
040101;Arequipa;Arequipa;Arequipa;16248
040102;Arequipa;Arequipa;Alto Selva Alegre;24754
040103;Arequipa;Arequipa;Cayma;27865
040104;Arequipa;Arequipa;Cerro Colorado;63674
040105;Arequipa;Arequipa;Characato;4127
040106;Arequipa;Arequipa;Chiguata;1052
040107;Arequipa;Arequipa;Jacobo Hunter;13434
040108;Arequipa;Arequipa;La Joya;11771
040109;Arequipa;Arequipa;Mariano Melgar;18491
040110;Arequipa;Arequipa;Miraflores;17891
040111;Arequipa;Arequipa;Mollebaya;1991
040112;Arequipa;Arequipa;Paucarpata;35755
040113;Arequipa;Arequipa;Pocsi;207
040114;Arequipa;Arequipa;Polobaya;336
040115;Arequipa;Arequipa;Quequeña;2453
040116;Arequipa;Arequipa;Sabandia;1270
040117;Arequipa;Arequipa;Sachaca;6891
040118;Arequipa;Arequipa;San Juan de Siguas;214
040119;Arequipa;Arequipa;San Juan de Tarucani;563
040120;Arequipa;Arequipa;Santa Isabel de Siguas;251
040121;Arequipa;Arequipa;Santa Rita de Siguas;1761
040122;Arequipa;Arequipa;Socabaya;20863
040123;Arequipa;Arequipa;Tiabaya;4343
040124;Arequipa;Arequipa;Uchumayo;4270
040125;Arequipa;Arequipa;Vitor;1623
040126;Arequipa;Arequipa;Yanahuara;7987
040127;Arequipa;Arequipa;Yarabamba;574
040128;Arequipa;Arequipa;Yura;13179
040129;Arequipa;Arequipa;José Luis Bustamante Y Rivero;23922
040201;Arequipa;Camaná;Camaná;4083
040202;Arequipa;Camaná;José María Quimper;1440
040203;Arequipa;Camaná;Mariano Nicolás Valcárcel;2570
040204;Arequipa;Camaná;Mariscal Cáceres;1876
040205;Arequipa;Camaná;Nicolás de Pierola;2344
040206;Arequipa;Camaná;Ocoña;1376
040207;Arequipa;Camaná;Quilca;322
040208;Arequipa;Camaná;Samuel Pastor;5058
040301;Arequipa;Caravelí;Caravelí;1126
040302;Arequipa;Caravelí;Acarí;1515
040303;Arequipa;Caravelí;Atico;1560
040304;Arequipa;Caravelí;Atiquipa;166
040305;Arequipa;Caravelí;Bella Unión;955
040306;Arequipa;Caravelí;Cahuacho;215
040307;Arequipa;Caravelí;Chala;2628
040308;Arequipa;Caravelí;Chaparra;1006
040309;Arequipa;Caravelí;Huanuhuanu;845
040310;Arequipa;Caravelí;Jaqui;529
040311;Arequipa;Caravelí;Lomas;467
040312;Arequipa;Caravelí;Quicacha;620
040313;Arequipa;Caravelí;Yauca;634
040401;Arequipa;Castilla;Aplao;2784
040402;Arequipa;Castilla;Andagua;345
040403;Arequipa;Castilla;Ayo;115
040404;Arequipa;Castilla;Chachas;498
040405;Arequipa;Castilla;Chilcaymarca;304
040406;Arequipa;Castilla;Choco;299
040407;Arequipa;Castilla;Huancarqui;516
040408;Arequipa;Castilla;Machaguay;221
040409;Arequipa;Castilla;Orcopampa;2278
040410;Arequipa;Castilla;Pampacolca;728
040411;Arequipa;Castilla;Tipan;175
040412;Arequipa;Castilla;Uñon;76
040413;Arequipa;Castilla;Uraca;1915
040414;Arequipa;Castilla;Viraco;543
040501;Arequipa;Caylloma;Chivay;1781
040502;Arequipa;Caylloma;Achoma;374
040503;Arequipa;Caylloma;Cabanaconde;746
040504;Arequipa;Caylloma;Callalli;630
040505;Arequipa;Caylloma;Caylloma;781
040506;Arequipa;Caylloma;Coporaque;390
040507;Arequipa;Caylloma;Huambo;301
040508;Arequipa;Caylloma;Huanca;410
040509;Arequipa;Caylloma;Ichupampa;233
040510;Arequipa;Caylloma;Lari;343
040511;Arequipa;Caylloma;Lluta;345
040512;Arequipa;Caylloma;Maca;303
040513;Arequipa;Caylloma;Madrigal;277
040514;Arequipa;Caylloma;San Antonio de Chuca;345
040515;Arequipa;Caylloma;Sibayo;257
040516;Arequipa;Caylloma;Tapay;202
040517;Arequipa;Caylloma;Tisco;620
040518;Arequipa;Caylloma;Tuti;262
040519;Arequipa;Caylloma;Yanque;732
040520;Arequipa;Caylloma;Majes;20089
040601;Arequipa;Condesuyos;Chuquibamba;1068
040602;Arequipa;Condesuyos;Andaray;167
040603;Arequipa;Condesuyos;Cayarani;745
040604;Arequipa;Condesuyos;Chichas;234
040605;Arequipa;Condesuyos;Iray;216
040606;Arequipa;Condesuyos;Río Grande;1072
040607;Arequipa;Condesuyos;Salamanca;212
040608;Arequipa;Condesuyos;Yanaquihua;1335
040701;Arequipa;Islay;Mollendo;7386
040702;Arequipa;Islay;Cocachacra;2859
040703;Arequipa;Islay;Dean Valdivia;2218
040704;Arequipa;Islay;Islay;1624
040705;Arequipa;Islay;Mejia;304
040706;Arequipa;Islay;Punta de Bombón;2376
040801;Arequipa;La Uniòn;Cotahuasi;1004
040802;Arequipa;La Uniòn;Alca;590
040803;Arequipa;La Uniòn;Charcana;192
040804;Arequipa;La Uniòn;Huaynacotas;618
040805;Arequipa;La Uniòn;Pampamarca;406
040806;Arequipa;La Uniòn;Puyca;775
040807;Arequipa;La Uniòn;Quechualla;117
040808;Arequipa;La Uniòn;Sayla;117
040809;Arequipa;La Uniòn;Tauria;106
040810;Arequipa;La Uniòn;Tomepampa;227
040811;Arequipa;La Uniòn;Toro;241
050101;Ayacucho;Huamanga;Ayacucho;27052
050102;Ayacucho;Huamanga;Acocro;2238
050103;Ayacucho;Huamanga;Acos Vinchos;1328
050104;Ayacucho;Huamanga;Carmen Alto;7674
050105;Ayacucho;Huamanga;Chiara;1912
050106;Ayacucho;Huamanga;Ocros;1764
050107;Ayacucho;Huamanga;Pacaycasa;913
050108;Ayacucho;Huamanga;Quinua;1531
050109;Ayacucho;Huamanga;San José de Ticllas;541
050110;Ayacucho;Huamanga;San Juan Bautista;13240
050111;Ayacucho;Huamanga;Santiago de Pischa;681
050112;Ayacucho;Huamanga;Socos;1816
050113;Ayacucho;Huamanga;Tambillo;1383
050114;Ayacucho;Huamanga;Vinchos;4155
050115;Ayacucho;Huamanga;Jesús Nazareno;4954
050116;Ayacucho;Huamanga;Andrés Avelino Cáceres Dorregaray;7084
050201;Ayacucho;Cangallo;Cangallo;1880
050202;Ayacucho;Cangallo;Chuschi;2794
050203;Ayacucho;Cangallo;Los Morochucos;2520
050204;Ayacucho;Cangallo;María Parado de Bellido;718
050205;Ayacucho;Cangallo;Paras;1297
050206;Ayacucho;Cangallo;Totos;1210
050301;Ayacucho;Huanca Sancos;Sancos;1173
050302;Ayacucho;Huanca Sancos;Carapo;688
050303;Ayacucho;Huanca Sancos;Sacsamarca;512
050304;Ayacucho;Huanca Sancos;Santiago de Lucanamarca;720
050401;Ayacucho;Huanta;Huanta;10834
050402;Ayacucho;Huanta;Ayahuanco;422
050403;Ayacucho;Huanta;Huamanguilla;1308
050404;Ayacucho;Huanta;Iguain;893
050405;Ayacucho;Huanta;Luricocha;1812
050406;Ayacucho;Huanta;Santillana;1124
050407;Ayacucho;Huanta;Sivia;3272
050408;Ayacucho;Huanta;Llochegua;2962
050409;Ayacucho;Huanta;Canayre;1058
050410;Ayacucho;Huanta;Uchuraccay;1053
050411;Ayacucho;Huanta;Pucacolpa;711
050412;Ayacucho;Huanta;Chaca;635
050501;Ayacucho;La Mar;San Miguel;3052
050502;Ayacucho;La Mar;Anco;2300
050503;Ayacucho;La Mar;Ayna;2648
